Time,Axis1,Axis2,Axis3,VM,Active
947031780,0,0,0,0,FALSE
947031840,0,0,0,0,FALSE
947031900,0,0,0,0,FALSE
947031960,0,0,0,0,FALSE
947032020,0,0,0,0,FALSE
947032080,0,0,0,0,FALSE
947032140,0,0,0,0,FALSE
947032200,0,0,0,0,FALSE
947032260,0,0,0,0,FALSE
947032320,0,0,0,0,FALSE
947032380,0,0,0,0,FALSE
947032440,0,0,0,0,FALSE
947032500,0,0,0,0,FALSE
947032560,0,0,0,0,FALSE
947032620,0,0,0,0,FALSE
947032680,0,0,0,0,FALSE
947032740,0,0,0,0,FALSE
947032800,0,0,0,0,FALSE
947032860,0,0,0,0,FALSE
947032920,0,0,0,0,FALSE
947032980,0,0,0,0,FALSE
947033040,0,0,0,0,FALSE
947033100,0,0,0,0,FALSE
947033160,0,0,0,0,FALSE
947033220,0,0,0,0,FALSE
947033280,0,0,0,0,FALSE
947033340,0,0,0,0,FALSE
947033400,0,0,0,0,FALSE
947033460,0,0,0,0,FALSE
947033520,0,0,0,0,FALSE
947033580,0,0,0,0,FALSE
947033640,0,0,0,0,FALSE
947033700,0,0,0,0,FALSE
947033760,0,0,0,0,FALSE
947033820,0,0,0,0,FALSE
947033880,0,0,0,0,FALSE
947033940,0,0,0,0,FALSE
947034000,0,0,0,0,FALSE
947034060,0,0,0,0,FALSE
947034120,0,0,0,0,FALSE
947034180,0,0,0,0,FALSE
947034240,0,0,0,0,FALSE
947034300,0,0,0,0,FALSE
947034360,0,0,0,0,FALSE
947034420,0,0,0,0,FALSE
947034480,0,0,0,0,FALSE
947034540,0,0,0,0,FALSE
947034600,0,0,0,0,FALSE
947034660,0,0,0,0,FALSE
947034720,0,0,0,0,FALSE
947034780,0,0,0,0,FALSE
947034840,0,0,0,0,FALSE
947034900,0,0,0,0,FALSE
947034960,0,0,0,0,FALSE
947035020,0,0,0,0,FALSE
947035080,0,0,0,0,FALSE
947035140,0,0,0,0,FALSE
947035200,0,0,0,0,FALSE
947035260,0,0,0,0,FALSE
947035320,0,0,0,0,FALSE
947035380,0,0,0,0,FALSE
947035440,0,0,0,0,FALSE
947035500,0,0,0,0,FALSE
947035560,0,0,0,0,FALSE
947035620,0,0,0,0,FALSE
947035680,0,0,0,0,FALSE
947035740,0,0,0,0,FALSE
947035800,0,0,0,0,FALSE
947035860,0,0,0,0,FALSE
947035920,0,0,0,0,FALSE
947035980,0,0,0,0,FALSE
947036040,0,0,0,0,FALSE
947036100,0,0,0,0,FALSE
947036160,0,0,0,0,FALSE
947036220,0,0,0,0,FALSE
947036280,0,0,0,0,FALSE
947036340,0,0,0,0,FALSE
947036400,0,0,0,0,FALSE
947036460,0,0,0,0,FALSE
947036520,0,0,0,0,FALSE
947036580,0,0,0,0,FALSE
947036640,0,0,0,0,FALSE
947036700,0,0,0,0,FALSE
947036760,0,0,0,0,FALSE
947036820,0,0,0,0,FALSE
947036880,0,0,0,0,FALSE
947036940,0,0,0,0,FALSE
947037000,0,0,0,0,FALSE
947037060,0,0,0,0,FALSE
947037120,0,0,0,0,FALSE
947037180,0,0,0,0,FALSE
947037240,0,0,0,0,FALSE
947037300,0,0,0,0,FALSE
947037360,0,0,0,0,FALSE
947037420,0,0,0,0,FALSE
947037480,0,0,0,0,FALSE
947037540,0,0,0,0,FALSE
947037600,0,0,0,0,FALSE
947037660,0,0,0,0,FALSE
947037720,0,0,0,0,FALSE
947037780,0,0,0,0,FALSE
947037840,0,0,0,0,FALSE
947037900,0,0,0,0,FALSE
947037960,0,0,0,0,FALSE
947038020,0,0,0,0,FALSE
947038080,0,0,0,0,FALSE
947038140,0,0,0,0,FALSE
947038200,0,0,0,0,FALSE
947038260,0,0,0,0,FALSE
947038320,0,0,0,0,FALSE
947038380,0,0,0,0,FALSE
947038440,0,0,0,0,FALSE
947038500,0,0,0,0,FALSE
947038560,0,0,0,0,FALSE
947038620,0,0,0,0,FALSE
947038680,0,0,0,0,FALSE
947038740,0,0,0,0,FALSE
947038800,0,0,0,0,FALSE
947038860,0,0,0,0,FALSE
947038920,0,0,0,0,FALSE
947038980,0,0,0,0,FALSE
947039040,0,0,0,0,FALSE
947039100,0,0,0,0,FALSE
947039160,0,0,0,0,FALSE
947039220,0,0,0,0,FALSE
947039280,0,0,0,0,FALSE
947039340,0,0,0,0,FALSE
947039400,0,0,0,0,FALSE
947039460,0,0,0,0,FALSE
947039520,0,0,0,0,FALSE
947039580,0,0,0,0,FALSE
947039640,0,0,0,0,FALSE
947039700,0,0,0,0,FALSE
947039760,0,0,0,0,FALSE
947039820,0,0,0,0,FALSE
947039880,0,0,0,0,FALSE
947039940,0,0,0,0,FALSE
947040000,0,0,0,0,FALSE
947040060,0,0,0,0,FALSE
947040120,0,0,0,0,FALSE
947040180,0,0,0,0,FALSE
947040240,0,0,0,0,FALSE
947040300,0,0,0,0,FALSE
947040360,0,0,0,0,FALSE
947040420,0,0,0,0,FALSE
947040480,0,0,0,0,FALSE
947040540,0,0,0,0,FALSE
947040600,0,0,0,0,FALSE
947040660,0,0,0,0,FALSE
947040720,0,0,0,0,FALSE
947040780,0,0,0,0,FALSE
947040840,0,0,0,0,FALSE
947040900,0,0,0,0,FALSE
947040960,0,0,0,0,FALSE
947041020,0,0,0,0,FALSE
947041080,0,0,0,0,FALSE
947041140,0,0,0,0,FALSE
947041200,0,0,0,0,FALSE
947041260,0,0,0,0,FALSE
947041320,0,0,0,0,FALSE
947041380,0,0,0,0,FALSE
947041440,0,0,0,0,FALSE
947041500,0,0,0,0,FALSE
947041560,0,0,0,0,FALSE
947041620,0,0,0,0,FALSE
947041680,0,0,0,0,FALSE
947041740,0,0,0,0,FALSE
947041800,0,0,0,0,FALSE
947041860,0,0,0,0,FALSE
947041920,0,0,0,0,FALSE
947041980,0,0,0,0,FALSE
947042040,0,0,0,0,FALSE
947042100,0,0,0,0,FALSE
947042160,0,0,0,0,FALSE
947042220,0,0,0,0,FALSE
947042280,0,0,0,0,FALSE
947042340,0,0,0,0,FALSE
947042400,0,0,0,0,FALSE
947042460,0,0,0,0,FALSE
947042520,0,0,0,0,FALSE
947042580,0,0,0,0,FALSE
947042640,0,0,0,0,FALSE
947042700,0,0,0,0,FALSE
947042760,0,0,0,0,FALSE
947042820,0,0,0,0,FALSE
947042880,0,0,0,0,FALSE
947042940,0,0,0,0,FALSE
947043000,0,0,0,0,FALSE
947043060,0,0,0,0,FALSE
947043120,0,0,0,0,FALSE
947043180,0,0,0,0,FALSE
947043240,0,0,0,0,FALSE
947043300,0,0,0,0,FALSE
947043360,0,0,0,0,FALSE
947043420,0,0,0,0,FALSE
947043480,0,0,0,0,FALSE
947043540,0,0,0,0,FALSE
947043600,0,0,0,0,FALSE
947043660,0,0,0,0,FALSE
947043720,0,0,0,0,FALSE
947043780,0,0,0,0,FALSE
947043840,0,0,0,0,FALSE
947043900,0,0,0,0,FALSE
947043960,0,0,0,0,FALSE
947044020,0,0,0,0,FALSE
947044080,0,0,0,0,FALSE
947044140,0,0,0,0,FALSE
947044200,0,0,0,0,FALSE
947044260,0,0,0,0,FALSE
947044320,0,0,0,0,FALSE
947044380,0,0,0,0,FALSE
947044440,0,0,0,0,FALSE
947044500,0,0,0,0,FALSE
947044560,0,0,0,0,FALSE
947044620,0,0,0,0,FALSE
947044680,0,0,0,0,FALSE
947044740,0,0,0,0,FALSE
947044800,0,0,0,0,FALSE
947044860,0,0,0,0,FALSE
947044920,0,0,0,0,FALSE
947044980,0,0,0,0,FALSE
947045040,0,0,0,0,FALSE
947045100,0,0,0,0,FALSE
947045160,0,0,0,0,FALSE
947045220,0,0,0,0,FALSE
947045280,0,0,0,0,FALSE
947045340,0,0,0,0,FALSE
947045400,0,0,0,0,FALSE
947045460,0,0,0,0,FALSE
947045520,0,0,0,0,FALSE
947045580,0,0,0,0,FALSE
947045640,0,0,0,0,FALSE
947045700,0,0,0,0,FALSE
947045760,0,0,0,0,FALSE
947045820,0,0,0,0,FALSE
947045880,0,0,0,0,FALSE
947045940,0,0,0,0,FALSE
947046000,0,0,0,0,FALSE
947046060,0,0,0,0,FALSE
947046120,0,0,0,0,FALSE
947046180,0,0,0,0,FALSE
947046240,0,0,0,0,FALSE
947046300,0,0,0,0,FALSE
947046360,0,0,0,0,FALSE
947046420,0,0,0,0,FALSE
947046480,0,0,0,0,FALSE
947046540,0,0,0,0,FALSE
947046600,0,0,0,0,FALSE
947046660,0,0,0,0,FALSE
947046720,0,0,0,0,FALSE
947046780,0,0,0,0,FALSE
947046840,0,0,0,0,FALSE
947046900,0,0,0,0,FALSE
947046960,0,0,0,0,FALSE
947047020,0,0,0,0,FALSE
947047080,0,0,0,0,FALSE
947047140,0,0,0,0,FALSE
947047200,0,0,0,0,FALSE
947047260,0,0,0,0,FALSE
947047320,0,0,0,0,FALSE
947047380,0,0,0,0,FALSE
947047440,0,0,0,0,FALSE
947047500,0,0,0,0,FALSE
947047560,0,0,0,0,FALSE
947047620,0,0,0,0,FALSE
947047680,0,0,0,0,FALSE
947047740,0,0,0,0,FALSE
947047800,0,0,0,0,FALSE
947047860,0,0,0,0,FALSE
947047920,0,0,0,0,FALSE
947047980,0,0,0,0,FALSE
